Abbrv,Full
tn,Tonight
AOTY,Album of the year
xit,Exit
g/f,Girlfriend
b-day,Birthday
WRU,Where are you
AAR,At any rate
obv,Obviously
Textmergency,Text emergency
b/c,Because
gb,Goodbye
NLT,No later than
PJDWYS,"Personal joke, don't worry yourself"
TTY,Talk to you
welp,Well
Forevs,Forever
NRN,Not right now
sk8,Skate
watev,Whatever
NBJF,"No brag, just fact"
HIG,How's it going?
Kinda,Kind of
TTB,That's too bad
BFAM,Brother from another mother
FRFR,For real for real
2B@,To be at
delish,Delicious
NYE,New Year's Eve
quar,Quarantine
RUOK,Are you OK?
NTY,No thank you
TOL,Thinking of laughing
D/C,Don't care
G9,Goodnight
ATW,All the way
SMS,Short Message Service
TSNF,That's so not fair
bn,Been
CUL,Catch you later
chingo,Chat lingo
JC,Just chilling
BH,Better half
PLMK,Please let me know
frnd,Friend
QFE,Question for everyone
AFAIC,As far as I'm concerned
AFAICS,As far as I can see
AYFR,Are you for real?
ILU2,I love you too
AJ,Absolute jerk
ICAM,I couldn't agree more
DTP,Disturbing the peace
d,Di**
IYKYK,If you know you know
TYSM,Thank you so much
TF,Too funny
RUB,Are you back
KOTC,Kiss on the cheek
JW,Just wondering
F2T,Free to talk
OAO,Over and out
2B,To be
AWTY,Are we there yet?
FOAF,Friend of a friend
MB,My bad
nvr,Never
LMA,Leave me alone
GOMB,Get off my back
YGM,You've got mail
RUS,Are you serious?
Kewt,Cute
W^,What's up
yo,Hey
WBY,What about you?
DBBSWF,"Dream boat body, shipwreck face"
hr,Hour
perf,Perfect
Wig,Incredible
BIPOC,"Black, Indigenous, People of Color"
TAY,Thinking about you
WU,What's up
YVW,You're very welcome
26y4u,Too sexy for you
BFFL,Best friend for life
JJ,Just joking
LUL,Love you lots
SML,So much love
GBTW,Get back to work
DU,Darn you
ALOL,Actually laughing out loud
BCO,Big crush on
XO,Kiss and Hug
CYF,Check your Facebook
ima,I'm
SG,Sounds good
AYFT,Are you free today?
PMKI,Pretty much killin' it
DYAC,D*** You Auto Correct
SNH,Sarcasm Noted Here
INR,I know right
ya,You
4nr,Foreigner
ISTG,I swear to God
LYL,Love you lots
NC,No comment
*$,Starbucks
LMO,Leave me one
onl,Online
KSC,Kinda sorta chuckle
yh,Yeah
Zooze,Drinking with friends over Zoom
HH1/2KO,"Ha-ha, half-kidding only"
RYFS,Are you freakin' serious?
AOYP,Angel on your pillow
Totes,Totally
BC,Be cool
FOMOF,Fear of missing out on football
POIDH,Pictures or it didn't happen
Fire,Awesome
BFFM,Best friends forevermore
BION,Believe it or not
CU,See you
CYL,Catch ya later
GOWI,Get on with it
gvn,Given
HA,Hello again
HHVF,"Ha-ha, very funny"
no1,No one
TTYVS,Talk to you very soon
WAYDRN,What are you doing right now
s,Smiling
JP,Just playing
USAD,You're such a dork
FICCL,"Frankly, I couldn't care less"
luzr,Loser
c,See
G2G,Good to go
PL&,Planned
VM,Voicemail
AA,Adiós amigo
TOU,Thinking of you
LOLAWS,Laughing out loud and with style
IMYA,I miss you already
TRBL,Terrible
DKDC,"Don't know, don't care"
amazn,Amazing
DRK,Don't really know
WEML,Whatever major loser
wuz,Was
HMSL,Holding my sides laughing
BBM,Brains by Mattel
MOH,Maid of Honor
BU&I,Between you and I
HWU,"Hey, what's up?"
PYHOOYA,Pull your head out of your a**
LDR,Long distance relationship
def,Definitely
dunno,Don't know
mkay,OK
probs,Probably
HSMP,Homeschool me please
Tix,Tickets
